GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
WhiteBox,org.example,Item,3,24,0,0,1,9,1,4,1,4
WhiteBox,org.example,OrderProcessor,0,132,0,18,0,30,0,13,0,4
